name,slug,website_url,status,official_icon_url,local_path,error
1 Crown Office Row,1-crown-office-row,https://www.1cor.com/,downloaded,https://www.1cor.com/london/wp-content/themes/onecor/assets/favicons/apple-touch-icon.png,assets/chambers/1-crown-office-row.webp,
1 Hare Court,1-hare-court,https://www.1hc.com/,downloaded,https://www.1hc.com/wp-content/uploads/2024/05/1HC-favicon2.png,assets/chambers/1-hare-court.png,
11KBW,11kbw,https://www.11kbw.com/,downloaded,https://www.11kbw.com/wp-content/uploads/cropped-11KBW-Website-Favicon-180x180.png,assets/chambers/11kbw.png,
12 Kings Bench Walk,12-kings-bench-walk,https://www.12kbw.co.uk/,failed,,,curl: (56) The requested URL returned error: 403
2 Hare Court,2-hare-court,https://www.2harecourt.com/,downloaded,https://www.2harecourt.com/wp-content/themes/tela_2hc/assets/favicon/apple-touch-icon.png,assets/chambers/2-hare-court.webp,
3 Verulam Buildings,3-verulam-buildings,https://3vb.com/,downloaded,https://3vb.com/wp-content/themes/3vb/theme/images/apple-touch-icon.png,assets/chambers/3-verulam-buildings.png,
39 Essex Chambers,39-essex-chambers,https://www.39essex.com/,failed,,,curl: (56) The requested URL returned error: 403
3PB Barristers,3pb-barristers,https://www.3pb.co.uk/,downloaded,https://www.3pb.co.uk/content/themes/3pb_barristers/apple-touch-icon.png,assets/chambers/3pb-barristers.png,
4 New Square Chambers,4-new-square-chambers,https://www.4newsquare.com/,downloaded,https://www.4newsquare.com/wp-content/themes/tela_4ns/assets/favicons/favicon-32x32.png,assets/chambers/4-new-square-chambers.webp,
4 Pump Court,4-pump-court,https://www.4pumpcourt.com/,downloaded,https://www.4pumpcourt.com/wp-content/themes/tela_4pc/assets/favicons/favicon.svg?v=2,assets/chambers/4-pump-court.svg,
4PB,4pb,https://www.4pb.com/,failed,,,curl: (56) The requested URL returned error: 403
5 Essex Chambers,5-essex-chambers,https://www.5essex.co.uk/,downloaded,https://www.5essex.co.uk/wp-content/themes/tela_5ec/assets/favicons/apple-touch-icon.png,assets/chambers/5-essex-chambers.webp,
